Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,630601291,8090.294769875346,1986579,25.48680112620351,210510,6583588,84.46409533819697,6999,0.08979362063240297,425,
United States of America,Americas,96474411,29146.114,266104,80.393,0,1062721,321.061,2480,0.749,0
India,South-East Asia,44663968,3236.509,6819,0.494,1016,530514,38.443,53,0.004,3
France,Europe,35964696,55296.818,163698,251.691,0,153957,236.714,402,0.618,0
Germany,Europe,35932654,43205.573,181051,217.696,0,155012,186.387,94,0.113,0
Brazil,Americas,34868153,16403.956,31118,14.64,12661,688487,323.903,268,0.126,92
Republic of Korea,Western Pacific,26037020,50784.931,319768,623.704,55365,29531,57.6,251,0.49,52
The United Kingdom,Europe,23930041,35250.331,2127,3.133,0,194704,286.81,0,0,0
Italy,Europe,23642011,39640.21,38995,65.382,0,179436,300.858,87,0.146,0
Japan,Western Pacific,22877660,18088.473,377347,298.354,87410,47236,37.348,386,0.305,97
Russian Federation,Europe,21477926,14717.515,30408,20.837,0,390774,267.774,386,0.265,0
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Spain,Europe,13529643,28584.187,17875,37.765,0,115239,243.466,161,0.34,0
Viet Nam,Western Pacific,11507124,11821.751,3033,3.116,468,43166,44.346,2,0.002,0
Australia,Western Pacific,10364859,40646.691,0,0,0,14853,58.247,0,0,0
Argentina,Americas,9720232,21506.949,1357,3.002,0,130003,287.644,12,0.027,0
China,Western Pacific,9233541,627.583,193013,13.119,27807,29037,1.974,458,0.031,79
Netherlands,Europe,8525378,48975.076,6223,35.749,0,22857,131.305,22,0.126,0
Iran (Islamic Republic of),Eastern Mediterranean,7558690,8999.196,770,0.917,97,144605,172.163,25,0.03,1
Mexico,Americas,7113429,5517.162,1805,1.4,0,330406,256.262,6,0.005,0
Indonesia,South-East Asia,6544201,2392.554,36591,13.378,6294,158989,58.126,252,0.092,37
Poland,Europe,6345188,16716.278,2784,7.334,0,118195,311.383,52,0.137,0
Colombia,Americas,6310332,12401.677,616,1.211,0,141850,278.777,13,0.026,0
Portugal,Europe,5524686,53659.041,0,0,0,25254,245.282,0,0,0
Austria,Europe,5472671,61483.335,24510,275.36,0,21049,236.477,21,0.236,0
Ukraine,Europe,5312632,12147.668,0,0,0,110186,251.947,0,0,0
Greece,Europe,5250288,48983.124,61398,572.819,0,33888,316.162,138,1.287,0
Malaysia,Western Pacific,4937020,15253.724,27174,83.958,3267,36514,112.816,34,0.105,10
Chile,Americas,4810774,25165.952,44845,234.592,7523,61870,323.652,193,1.01,2
Thailand,South-East Asia,4695207,6726.66,2759,3.953,0,32995,47.271,40,0.057,0
Israel,Europe,4692568,54214.612,5955,68.8,0,11784,136.144,3,0.035,0
Belgium,Europe,4619721,40093.253,2125,18.442,0,32959,286.042,18,0.156,0
Canada,Americas,4357478,11545.388,20628,54.655,0,46710,123.761,293,0.776,0
Switzerland,Europe,4256107,49177.295,12063,139.382,0,13676,158.02,5,0.058,0
Czechia,Europe,4163425,38932.567,3143,29.39,0,41682,389.772,47,0.44,0
Peru,Americas,4163326,12626.909,5757,17.46,1557,217103,658.449,90,0.273,5
South Africa,Africa,4031096,6796.805,2069,3.489,0,102363,172.594,0,0,0
Philippines,Western Pacific,4012868,3662.008,7015,6.402,1241,64322,58.698,177,0.162,24
Denmark,Europe,3339619,57354.541,3361,57.722,0,7420,127.431,57,0.979,0
Romania,Europe,3290030,17021.354,2160,11.175,0,67217,347.755,19,0.098,0
Sweden,Europe,2614997,25320.498,0,0,0,20753,200.947,0,0,0
Iraq,Eastern Mediterranean,2461663,6120.115,0,0,0,25361,63.052,0,0,0
Serbia,Europe,2410231,34796.213,4229,61.054,0,17294,249.671,38,0.549,0
Hungary,Europe,2153564,22043.69,4556,46.635,0,48111,492.46,92,0.942,0
Singapore,Western Pacific,2131554,36434.69,19444,332.357,2982,1693,28.938,11,0.188,2
Bangladesh,South-East Asia,2036061,1236.304,404,0.245,69,29426,17.868,1,0.001,0
Slovakia,Europe,1853864,33966.785,776,14.218,0,20651,378.371,31,0.568,0
New Zealand,Western Pacific,1852595,38417.783,0,0,0,2119,43.942,0,0,0
Georgia,Europe,1785138,44749.553,0,0,0,16912,423.947,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1673665,33713.067,0,0,0,8066,162.476,0,0,0
Pakistan,Eastern Mediterranean,1574470,712.777,303,0.137,38,30629,13.866,0,0,0
Kazakhstan,Europe,1485340,7910.546,289,1.539,0,19053,101.471,1,0.005,0
Norway,Europe,1465816,27308.694,602,11.215,0,4238,78.956,0,0,0
Finland,Europe,1360721,24627.133,6,0.109,0,6741,122.003,0,0,0
Bulgaria,Europe,1282284,18446.196,2280,32.799,0,37936,545.725,38,0.547,0
Lithuania,Europe,1270708,45478.421,1977,70.756,0,9404,336.568,5,0.179,0
Morocco,Eastern Mediterranean,1266231,3430.539,499,1.352,127,16283,44.115,2,0.005,1
Croatia,Europe,1248864,30774.106,1622,39.969,0,17200,423.837,44,1.084,0
Slovenia,Europe,1240194,59173.485,4313,205.787,0,8489,405.036,6,0.286,0
Lebanon,Eastern Mediterranean,1219297,17863.993,374,5.479,156,10716,157.001,6,0.088,3
Tunisia,Eastern Mediterranean,1146702,9702.504,109,0.922,0,29263,247.601,4,0.034,0
Guatemala,Americas,1143218,6381.143,2616,14.602,0,19910,111.132,18,0.1,0
Costa Rica,Americas,1138416,22347.657,2703,53.061,0,9009,176.851,10,0.196,0
Cuba,Americas,1111303,9811.43,16,0.141,3,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1109690,9506.451,199,1.705,38,22241,190.533,2,0.017,1
United Arab Emirates,Eastern Mediterranean,1040133,10516.59,1905,19.261,266,2348,23.74,0,0,0
Ecuador,Americas,1009284,5720.574,1249,7.079,8,35934,203.672,14,0.079,0
Nepal,South-East Asia,1000775,3434.745,99,0.34,9,12019,41.25,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Panama,Americas,991251,22973.454,838,19.422,0,8509,197.206,0,0,0
Uruguay,Americas,991219,28534.716,659,18.971,0,7526,216.655,8,0.23,0
Puerto Rico,Americas,989932,34602.687,6791,237.377,903,5285,184.735,20,0.699,5
Mongolia,Western Pacific,986599,30094.928,1154,35.201,0,2131,65.003,0,0,0
Latvia,Europe,955943,50110.37,2108,110.501,0,6070,318.188,12,0.629,0
Saudi Arabia,Eastern Mediterranean,824151,2367.306,1175,3.375,148,9425,27.073,13,0.037,2
Azerbaijan,Europe,823577,8122.722,208,2.051,0,9957,98.203,6,0.059,0
Paraguay,Americas,717980,10066.263,25,0.351,0,19606,274.881,5,0.07,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703036,13781.199,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,692638,40705.699,1878,110.368,260,1530,89.917,1,0.059,1
Sri Lanka,South-East Asia,671354,3135.227,52,0.243,0,16783,78.377,1,0.005,0
Kuwait,Eastern Mediterranean,662359,15509.846,286,6.697,0,2569,60.156,1,0.023,0
Dominican Republic,Americas,647717,5970.892,85,0.784,0,4384,40.413,0,0,0
Myanmar,South-East Asia,632461,1162.403,447,0.822,0,19486,35.813,2,0.004,0
Estonia,Europe,607844,45737.771,353,26.562,0,2757,207.453,9,0.677,0
Cyprus,Europe,602662,67866.96,3544,399.097,0,1200,135.134,6,0.676,0
Republic of Moldova,Europe,594070,14726.709,347,8.602,0,11900,294.995,6,0.149,0
Venezuela (Bolivarian Republic of),Americas,546137,1920.587,211,0.742,15,5823,20.478,3,0.011,0
Egypt,Eastern Mediterranean,515412,503.655,6,0.006,0,24798,24.232,0,0,0
Libya,Eastern Mediterranean,507060,7379.398,9,0.131,0,6437,93.68,0,0,0
Ethiopia,Africa,494042,429.738,54,0.047,0,7572,6.586,0,0,0
Réunion,Africa,478346,53427.855,0,0,0,899,100.412,0,0,0
Qatar,Eastern Mediterranean,472587,16403.273,2489,86.392,361,684,23.741,0,0,0
Honduras,Americas,457196,4615.993,0,0,0,11039,111.453,0,0,0
Armenia,Europe,445397,15030.774,155,5.231,0,8709,293.902,0,0,0
Bosnia and Herzegovina,Europe,400115,12195.598,122,3.719,0,16182,493.231,5,0.152,0
Oman,Eastern Mediterranean,398775,7808.972,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,344342,16528.046,196,9.408,0,9564,459.062,0,0,0
Kenya,Africa,339788,631.913,438,0.815,0,5678,10.56,0,0,0
Zambia,Africa,333685,1815.088,0,0,0,4017,21.851,0,0,0
Albania,Europe,331944,11534.645,97,3.371,0,3593,124.852,0,0,0
Botswana,Africa,326324,13876.52,0,0,0,2782,118.301,0,0,0
Luxembourg,Europe,303571,48485.405,703,112.281,0,1151,183.834,5,0.799,0
Montenegro,Europe,283138,45081.218,172,27.386,0,2787,443.746,0,0,0
Kosovo[1],Europe,272140,15155.38,16,0.891,0,3192,177.761,0,0,0
Algeria,Africa,270847,617.652,0,0,0,6881,15.692,0,0,0
Mauritius,Africa,268397,21104.242,1173,92.234,0,1033,81.226,0,0,0
Nigeria,Africa,266192,129.132,54,0.026,0,3155,1.531,0,0,0
Zimbabwe,Africa,257893,1735.143,0,0,0,5606,37.718,0,0,0
Uzbekistan,Europe,244878,731.652,162,0.484,0,1637,4.891,0,0,0
Brunei Darussalam,Western Pacific,244599,55911.027,0,0,0,136,31.087,0,0,0
Mozambique,Africa,230475,737.392,0,0,0,2224,7.116,0,0,0
Martinique,Americas,223728,59618.669,0,0,0,1047,279.003,0,0,0
Lao People's Democratic Republic,Western Pacific,216303,2973.008,46,0.632,8,757,10.405,0,0,0
Iceland,Europe,206803,56793.104,232,63.713,0,219,60.143,0,0,0
Kyrgyzstan,Europe,206464,3164.592,12,0.184,0,2991,45.845,0,0,0
Afghanistan,Eastern Mediterranean,204173,524.484,862,2.214,205,7829,20.111,6,0.015,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Guadeloupe,Americas,196270,49052.294,0,0,0,993,248.173,0,0,0
Maldives,South-East Asia,185454,34308.77,90,16.65,0,309,57.165,1,0.185,0
Trinidad and Tobago,Americas,184949,13215.476,95,6.788,95,4257,304.183,2,0.143,2
Ghana,Africa,170894,549.977,0,0,0,1460,4.699,0,0,0
Namibia,Africa,169929,6687.735,0,0,0,4080,160.573,0,0,0
Uganda,Africa,169378,370.298,0,0,0,3630,7.936,0,0,0
Jamaica,Americas,152306,5143.445,0,0,0,3350,113.131,0,0,0
Cambodia,Western Pacific,137996,825.386,3,0.018,0,3056,18.279,0,0,0
Rwanda,Africa,132611,1023.848,26,0.201,0,1467,11.326,0,0,0
Cameroon,Africa,123993,467.09,0,0,0,1965,7.402,0,0,0
Malta,Europe,115532,22452.406,107,20.794,0,808,157.026,0,0,0
Barbados,Americas,103424,35989.213,0,0,0,560,194.867,0,0,0
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0
French Guiana,Americas,94259,31558.313,0,0,0,411,137.605,0,0,0
Democratic Republic of the Congo,Africa,93218,104.083,0,0,0,1445,1.613,0,0,0
Senegal,Africa,88826,530.497,15,0.09,0,1968,11.754,0,0,0
Malawi,Africa,88009,460.059,-90,-0.47,-90,2685,14.036,2,0.01,2
Côte d’Ivoire,Africa,87839,332.998,51,0.193,0,829,3.143,1,0.004,0
Suriname,Americas,81228,13846.5,0,0,0,1392,237.287,0,0,0
French Polynesia,Western Pacific,76797,27338.844,33,11.748,0,649,231.036,0,0,0
New Caledonia,Western Pacific,74577,26121.724,137,47.986,0,314,109.983,0,0,0
Eswatini,Africa,73618,6345.482,60,5.172,0,1422,122.569,0,0,0
Guyana,Americas,71453,9084.333,15,1.907,6,1281,162.863,0,0,0
Belize,Americas,68972,17345.861,15,3.772,0,687,172.775,0,0,0
Fiji,Western Pacific,68270,7615.637,6,0.669,0,878,97.942,0,0,0
Madagascar,Africa,66788,241.19,42,0.152,0,1411,5.096,0,0,0
Sudan,Eastern Mediterranean,63561,144.953,52,0.119,3,4980,11.357,8,0.018,2
Mauritania,Africa,63392,1363.369,12,0.258,0,997,21.442,0,0,0
Cabo Verde,Africa,62589,11257.278,73,13.13,0,410,73.743,0,0,0
Bhutan,South-East Asia,62430,8090.896,50,6.48,0,21,2.722,0,0,0
Jersey,Europe,62014,57529.036,7,6.494,0,141,130.803,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57374,327.839,10,0.057,2,3163,18.074,0,0,0
Burundi,Africa,50574,425.321,57,0.479,0,15,0.126,0,0,0
Seychelles,Africa,49380,50209.971,0,0,0,171,173.874,0,0,0
Guam,Western Pacific,49174,29135.832,0,0,0,404,239.372,0,0,0
Gabon,Africa,48945,2199.05,0,0,0,306,13.748,0,0,0
Andorra,Europe,46588,60296.383,0,0,0,155,200.608,0,0,0
Papua New Guinea,Western Pacific,45691,510.684,141,1.576,0,668,7.466,0,0,0
Curaçao,Americas,45507,27732.444,18,10.969,18,293,178.557,0,0,0
Aruba,Americas,43423,40671.187,44,41.212,44,234,219.171,1,0.937,1
Mayotte,Africa,40339,14786.21,19,6.964,0,187,68.545,0,0,0
United Republic of Tanzania,Africa,40152,67.218,88,0.147,0,845,1.415,0,0,0
Togo,Africa,39314,474.88,8,0.097,0,290,3.503,0,0,0
Guinea,Africa,38122,290.281,0,0,0,458,3.487,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Bahamas,Americas,37429,9518.009,24,6.103,0,833,211.828,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,33828,296.671,0,0,0,860,7.542,0,0,0
Mali,Africa,32739,161.667,2,0.01,0,742,3.664,0,0,0
Guernsey,Europe,32562,50508.78,96,148.911,0,65,100.825,1,1.551,0
Cayman Islands,Americas,31194,47465.003,98,149.117,98,36,54.778,1,1.522,1
Saint Lucia,Americas,29654,16149.041,0,0,0,407,221.645,0,0,0
Benin,Africa,27912,230.236,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27243,171.413,6,0.038,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
United States Virgin Islands,Americas,23413,22420.876,46,44.051,0,124,118.746,0,0,0
Timor-Leste,South-East Asia,23312,1768.144,9,0.683,0,138,10.467,0,0,0
Micronesia (Federated States of),Western Pacific,22032,19154.43,0,0,0,58,50.425,3,2.608,0
San Marino,Europe,21739,64055.042,107,315.281,0,119,350.639,0,0,0
Burkina Faso,Africa,21631,103.481,0,0,0,387,1.851,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Liechtenstein,Europe,20741,53529.305,65,167.755,0,86,221.953,0,0,0
Gibraltar,Europe,20121,59722.181,0,0,0,108,320.56,0,0,0
Grenada,Americas,19604,17422.216,13,11.553,0,237,210.624,0,0,0
Bermuda,Americas,18428,29592.279,88,141.313,0,149,239.269,1,1.606,0
South Sudan,Africa,18325,163.708,7,0.063,0,138,1.233,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Equatorial Guinea,Africa,17081,1217.476,4,0.285,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,15949,8038.243,0,0,0,29,14.616,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15386,25992.499,4,6.757,0,17,28.719,0,0,0
Central African Republic,Africa,15288,316.537,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,15203,229.495,17,0.257,0,245,3.698,0,0,0
Monaco,Europe,15044,38334.522,56,142.697,0,65,165.63,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13171,22883.403,0,0,0,40,69.496,0,0,0
Gambia,Africa,12580,520.551,0,0,0,372,15.393,0,0,0
Saint Martin,Americas,12026,31107.892,0,0,0,46,118.989,0,0,0
Vanuatu,Western Pacific,11981,3900.763,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11945,40.049,1,0.003,0,2159,7.239,1,0.003,0
Sint Maarten,Americas,10931,25490.882,0,0,0,89,207.546,0,0,0
Eritrea,Africa,10189,287.304,0,0,0,103,2.904,0,0,0
Bonaire,Americas,9554,45680.134,23,109.969,23,31,148.219,0,0,0
Saint Vincent and the Grenadines,Americas,9459,8526.23,0,0,0,116,104.561,0,0,0
Niger,Africa,9430,38.956,1,0.004,0,314,1.297,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
Comoros,Africa,8879,1021.043,0,0,0,160,18.399,0,0,0
Guinea-Bissau,Africa,8848,449.593,0,0,0,176,8.943,0,0,0
American Samoa,Western Pacific,8257,14959.146,0,0,0,34,61.598,0,0,0
Liberia,Africa,7998,158.136,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7758,97.255,4,0.05,0,125,1.567,0,0,0
Chad,Africa,7631,46.457,4,0.024,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6551,12315.762,2,3.76,2,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6431,16609.846,0,0,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6275,2863.218,5,2.281,0,77,35.134,0,0,0
Palau,Western Pacific,5530,30565.996,0,0,0,7,38.691,0,0,0
Saint Barthélemy,Americas,5323,53849.267,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3866,25769.897,0,0,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Wallis and Futuna,Western Pacific,3415,30366.352,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3230,55737.705,0,0,0,1,17.256,0,0,0
Saint Helena,Africa,2115,34837.753,70,1153.023,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1930,55412.001,7,200.976,7,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1204,38356.164,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,732,37868.598,0,0,0,2,103.466,0,0,0
Tuvalu,Western Pacific,466,3951.832,443,3756.784,0,0,0,0,0,0
Niue,Western Pacific,85,5253.399,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
